Match_ID,Start Date,Country,Country_ID,Opposition,Ground,Toss,Score,Wickets,Overs,RPO,Target,Inns,Margin,Result
ODI # 3474,26-Feb-14,India,6,Bangladesh,Fatullah,won,280,4,49,5.71,280,2,6 wickets,won
ODI # 3474,26-Feb-14,Bangladesh,25,India,Fatullah,lost,279,7,50,5.58,,1,6 wickets,lost
ODI # 3475,27-Feb-14,Pakistan,7,Afghanistan,Fatullah,lost,248,8,50,4.96,,1,72 runs,won
ODI # 3475,27-Feb-14,Afghanistan,40,Pakistan,Fatullah,won,176,10,47.2,3.71,249,2,72 runs,lost
ODI # 3476,28-Feb-14,SriLanka,8,India,Fatullah,won,265,8,49.2,5.37,265,2,2 wickets,won
ODI # 3476,28-Feb-14,India,6,Sri Lanka,Fatullah,lost,264,9,50,5.28,,1,2 wickets,lost
ODI # 3477,28-Feb-14,WestIndies,4,England,North Sound,lost,269,6,50,5.38,,1,15 runs,won
ODI # 3477,28-Feb-14,England,1,West Indies,North Sound,won,254,6,50,5.08,270,2,15 runs,lost
ODI # 3478,01-Mar-14,Bangladesh,25,Afghanistan,Fatullah,won,222,10,47.5,4.64,255,2,32 runs,lost
ODI # 3478,01-Mar-14,Afghanistan,40,Bangladesh,Fatullah,lost,254,6,50,5.08,,1,32 runs,won
ODI # 3479,02-Mar-14,Pakistan,7,India,Dhaka,won,249,9,49.4,5.01,246,2,1 wickets,won
ODI # 3479,02-Mar-14,India,6,Pakistan,Dhaka,lost,245,8,50,4.9,,1,1 wickets,lost
ODI # 3480,02-Mar-14,WestIndies,4,England,North Sound,lost,159,10,44.2,3.58,,1,3 wickets,lost
